artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Sting,Desert Rose,285960,FALSO,1999,62,586,659,0,-7.92,0,304,11,0.0,106,147,111.989,"rock, pop"
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,VERDADERO,1999,63,854,543,8,-6.166,0,844,402,5.73e-05,419,868,103.032,"pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,245400,FALSO,1999,64,761,716,10,-5.8,0,560,396,0.0,771,649,119.410,pop
C̩line Dion,That's the Way It Is,241373,FALSO,1999,64,634,886,9,-5.424,1,434,154,0.0,118,577,93.040,pop
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,FALSO,1999,64,829,915,8,-3.205,1,106,226,1.25e-05,246,779,118.903,pop
Creed,With Arms Wide Open,274800,FALSO,1999,64,410,539,0,-8.412,1,302,425,89,117,141,138.852,"pop, rock, metal"
Gigi D'Agostino,The Riddle,285426,FALSO,1999,64,740,876,6,-6.87,0,369,173,152,785,825,127.002,pop
Tom Jones,Sexbomb,211893,FALSO,1999,65,801,876,8,-3.94,0,446,144,1.38e-05,104,932,122.979,"rock, Folk/Acoustic, easy listening"
Faith Hill,Breathe,250546,FALSO,1999,66,529,496,7,-9.007,1,290,173,0.0,251,278,136.859,"pop, country"
Santana,Maria Maria (feat. The Product G&B),261973,FALSO,1999,66,777,601,2,-5.931,1,126,406,201,348,680,97.911,"rock, blues, latin"
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,FALSO,1999,68,630,625,6,-5.088,0,252,231,0.0,765,683,167.998,pop
Creed,Higher,316733,FALSO,1999,69,459,830,2,-6.254,1,364,5.15e-05,14,206,431,155.827,"pop, rock, metal"
JAY-Z,Big Pimpin',283066,VERDADERO,1999,69,880,814,11,-6.307,0,140,168,672,584,942,138.083,hip hop
